,ZCTA5,STATE,COUNTY,state_fips,state,county_fips,county,class_code
14490,36005,01,005,01,AL,005,Barbour County,H1
14491,36005,01,011,01,AL,011,Bullock County,H1
14492,36005,01,109,01,AL,109,Pike County,H1
14493,36006,01,001,01,AL,001,Autauga County,H1
14494,36006,01,021,01,AL,021,Chilton County,H1
14495,36009,01,031,01,AL,031,Coffee County,H1
14496,36009,01,041,01,AL,041,Crenshaw County,H1
14497,36010,01,031,01,AL,031,Coffee County,H1
14498,36010,01,045,01,AL,045,Dale County,H1
14499,36010,01,109,01,AL,109,Pike County,H1
14500,36013,01,101,01,AL,101,Montgomery County,H1
14501,36016,01,005,01,AL,005,Barbour County,H1
14502,36017,01,005,01,AL,005,Barbour County,H1
14503,36020,01,051,01,AL,051,Elmore County,H1
14504,36022,01,001,01,AL,001,Autauga County,H1
14505,36022,01,051,01,AL,051,Elmore County,H1
14506,36024,01,051,01,AL,051,Elmore County,H1
14507,36025,01,051,01,AL,051,Elmore County,H1
14508,36026,01,037,01,AL,037,Coosa County,H1
14509,36026,01,051,01,AL,051,Elmore County,H1
14510,36027,01,005,01,AL,005,Barbour County,H1
14511,36027,01,067,01,AL,067,Henry County,H1
14512,36027,01,113,01,AL,113,Russell County,H1
14513,36028,01,039,01,AL,039,Covington County,H1
14514,36028,01,041,01,AL,041,Crenshaw County,H1
14515,36029,01,011,01,AL,011,Bullock County,H1
14516,36029,01,087,01,AL,087,Macon County,H1
14517,36030,01,013,01,AL,013,Butler County,H1
14518,36031,01,087,01,AL,087,Macon County,H1
14519,36032,01,013,01,AL,013,Butler County,H1
14520,36032,01,085,01,AL,085,Lowndes County,H1
14521,36033,01,013,01,AL,013,Butler County,H1
14522,36033,01,035,01,AL,035,Conecuh County,H1
14523,36033,01,099,01,AL,099,Monroe County,H1
14524,36034,01,031,01,AL,031,Coffee County,H1
14525,36034,01,041,01,AL,041,Crenshaw County,H1
14526,36034,01,109,01,AL,109,Pike County,H1
14527,36035,01,041,01,AL,041,Crenshaw County,H1
14528,36035,01,109,01,AL,109,Pike County,H1
14529,36036,01,041,01,AL,041,Crenshaw County,H1
14530,36036,01,101,01,AL,101,Montgomery County,H1
14531,36037,01,013,01,AL,013,Butler County,H1
14532,36037,01,041,01,AL,041,Crenshaw County,H1
14533,36038,01,039,01,AL,039,Covington County,H1
14534,36039,01,087,01,AL,087,Macon County,H1
14535,36040,01,085,01,AL,085,Lowndes County,H1
14536,36041,01,041,01,AL,041,Crenshaw County,H1
14537,36041,01,101,01,AL,101,Montgomery County,H1
14538,36042,01,013,01,AL,013,Butler County,H1
14539,36042,01,041,01,AL,041,Crenshaw County,H1
14540,36043,01,085,01,AL,085,Lowndes County,H1
14541,36043,01,101,01,AL,101,Montgomery County,H1
14542,36046,01,041,01,AL,041,Crenshaw County,H1
14543,36046,01,101,01,AL,101,Montgomery County,H1
14544,36047,01,085,01,AL,085,Lowndes County,H1
14545,36047,01,101,01,AL,101,Montgomery County,H1
14546,36048,01,005,01,AL,005,Barbour County,H1
14547,36049,01,041,01,AL,041,Crenshaw County,H1
14548,36049,01,109,01,AL,109,Pike County,H1
14549,36051,01,001,01,AL,001,Autauga County,H1
14550,36051,01,021,01,AL,021,Chilton County,H1
14551,36051,01,051,01,AL,051,Elmore County,H1
14552,36052,01,011,01,AL,011,Bullock County,H1
14553,36052,01,101,01,AL,101,Montgomery County,H1
14554,36053,01,005,01,AL,005,Barbour County,H1
14555,36053,01,011,01,AL,011,Bullock County,H1
14556,36054,01,051,01,AL,051,Elmore County,H1
14557,36064,01,101,01,AL,101,Montgomery County,H1
14558,36066,01,001,01,AL,001,Autauga County,H1
14559,36066,01,051,01,AL,051,Elmore County,H1
14560,36067,01,001,01,AL,001,Autauga County,H1
14561,36069,01,101,01,AL,101,Montgomery County,H1
14562,36069,01,109,01,AL,109,Pike County,H1
14563,36071,01,013,01,AL,013,Butler County,H1
14564,36071,01,041,01,AL,041,Crenshaw County,H1
14565,36075,01,087,01,AL,087,Macon County,H1
14566,36078,01,051,01,AL,051,Elmore County,H1
14567,36078,01,123,01,AL,123,Tallapoosa County,H1
14568,36079,01,031,01,AL,031,Coffee County,H1
14569,36079,01,109,01,AL,109,Pike County,H1
14570,36080,01,037,01,AL,037,Coosa County,H1
14571,36080,01,051,01,AL,051,Elmore County,H1
14572,36081,01,011,01,AL,011,Bullock County,H1
14573,36081,01,109,01,AL,109,Pike County,H1
14574,36082,01,109,01,AL,109,Pike County,H1
