,ZCTA5,STATE,COUNTY,state_fips,state,county_fips,county,class_code
13938,34614,12,053,12,FL,053,Hernando County,H1
13939,34637,12,101,12,FL,101,Pasco County,H1
13940,34638,12,101,12,FL,101,Pasco County,H1
13941,34639,12,101,12,FL,101,Pasco County,H1
13942,34652,12,101,12,FL,101,Pasco County,H1
13943,34653,12,101,12,FL,101,Pasco County,H1
13944,34654,12,101,12,FL,101,Pasco County,H1
13945,34655,12,101,12,FL,101,Pasco County,H1
13946,34661,12,053,12,FL,053,Hernando County,H1
13947,34667,12,101,12,FL,101,Pasco County,H1
13948,34668,12,101,12,FL,101,Pasco County,H1
13949,34669,12,101,12,FL,101,Pasco County,H1
13950,34677,12,103,12,FL,103,Pinellas County,H1
13951,34679,12,101,12,FL,101,Pasco County,H1
13952,34681,12,103,12,FL,103,Pinellas County,H1
13953,34683,12,103,12,FL,103,Pinellas County,H1
13954,34684,12,103,12,FL,103,Pinellas County,H1
13955,34685,12,103,12,FL,103,Pinellas County,H1
13956,34688,12,103,12,FL,103,Pinellas County,H1
13957,34689,12,103,12,FL,103,Pinellas County,H1
13958,34690,12,101,12,FL,101,Pasco County,H1
13959,34691,12,101,12,FL,101,Pasco County,H1
13960,34695,12,103,12,FL,103,Pinellas County,H1
13961,34698,12,103,12,FL,103,Pinellas County,H1
13962,34705,12,069,12,FL,069,Lake County,H1
13963,34711,12,069,12,FL,069,Lake County,H1
13964,34714,12,069,12,FL,069,Lake County,H1
13965,34714,12,105,12,FL,105,Polk County,H1
13966,34715,12,069,12,FL,069,Lake County,H1
13967,34731,12,069,12,FL,069,Lake County,H1
